geography,gender,has_credit_card,is_active,card_type,age_group,age,credit_score,tenure,balance,num_products,est_salary,satisfaction_score,pts_earned,churned
Spain,Female,1,1,DIAMOND,Middle-Aged (26-45),37,734,0,152760.24,1,48990.5,4,763,0
Germany,Male,1,1,DIAMOND,Middle-Aged (26-45),31,763,7,143966.3,2,140262.96,4,647,1
France,Male,1,0,SILVER,Older Adults (46-64),51,733,10,141556.96,1,130189.53,3,800,0
France,Female,1,1,GOLD,Middle-Aged (26-45),43,650,6,0.0,2,16301.91,1,489,0
France,Female,1,0,DIAMOND,Middle-Aged (26-45),33,538,5,0.0,2,126962.41,3,290,0
France,Female,1,1,SILVER,Older Adults (46-64),46,577,1,0.0,1,158750.53,4,800,0
France,Male,1,0,SILVER,Middle-Aged (26-45),30,792,8,0.0,2,199644.2,5,630,0
France,Female,1,1,GOLD,Middle-Aged (26-45),41,686,10,0.0,1,144272.71,5,875,1
France,Male,0,1,DIAMOND,Middle-Aged (26-45),29,589,2,0.0,2,98320.27,5,885,0
France,Male,1,0,SILVER,Young Adults (18-25),25,530,9,162560.32,1,64129.03,5,451,0
Germany,Female,1,0,PLATINUM,Middle-Aged (26-45),29,778,7,123229.46,1,181221.09,3,977,0
Spain,Male,1,1,GOLD,Middle-Aged (26-45),31,616,7,76665.71,2,163809.08,3,468,0
France,Male,1,1,GOLD,Middle-Aged (26-45),38,550,9,140278.99,3,171457.06,5,230,1
France,Female,0,1,SILVER,Older Adults (46-64),51,655,3,0.0,2,15801.02,1,629,0
France,Male,0,0,DIAMOND,Older Adults (46-64),46,721,1,115764.32,2,102950.79,3,804,0
Germany,Male,1,0,PLATINUM,Middle-Aged (26-45),36,499,5,131142.53,2,174918.46,5,941,0
France,Male,1,0,DIAMOND,Middle-Aged (26-45),45,511,5,68375.27,1,193160.25,1,351,1
Germany,Female,0,0,GOLD,Middle-Aged (26-45),39,579,5,117833.3,3,5831.0,3,778,1
Spain,Female,1,1,PLATINUM,Middle-Aged (26-45),36,696,7,0.0,2,82298.59,3,291,0
France,Male,0,0,DIAMOND,Middle-Aged (26-45),34,681,7,0.0,2,130686.59,4,742,0
France,Male,0,1,SILVER,Middle-Aged (26-45),45,815,7,0.0,1,52885.23,5,666,1
Spain,Male,1,0,PLATINUM,Middle-Aged (26-45),30,681,2,111093.01,1,68985.99,5,691,0
Spain,Male,1,0,GOLD,Middle-Aged (26-45),42,641,9,132657.55,1,35367.19,3,351,0
France,Female,1,1,DIAMOND,Older Adults (46-64),56,591,9,128882.49,1,196241.94,2,658,1
Germany,Male,1,1,PLATINUM,Older Adults (46-64),59,565,9,69129.59,1,170705.53,5,558,0
France,Male,1,1,SILVER,Middle-Aged (26-45),37,487,6,0.0,2,126477.41,2,701,0
France,Male,1,1,GOLD,Middle-Aged (26-45),39,729,4,121404.64,1,159618.17,3,797,0
Spain,Female,1,0,PLATINUM,Middle-Aged (26-45),45,505,9,131355.3,3,195395.33,2,661,1
France,Female,0,1,DIAMOND,Middle-Aged (26-45),35,580,1,102097.33,1,168285.85,4,778,0
France,Male,1,1,SILVER,Middle-Aged (26-45),40,642,1,154863.15,1,138052.51,4,716,0
Spain,Female,1,0,GOLD,Middle-Aged (26-45),41,850,3,99945.93,2,71179.31,2,252,0
Germany,Male,1,0,PLATINUM,Middle-Aged (26-45),39,616,2,121704.32,2,55556.3,4,346,0
Spain,Female,1,0,PLATINUM,Middle-Aged (26-45),43,526,3,0.0,2,31705.19,5,989,0
Germany,Male,1,1,DIAMOND,Middle-Aged (26-45),35,523,8,138782.76,1,186118.93,4,249,0
France,Male,1,1,DIAMOND,Middle-Aged (26-45),35,663,9,0.0,2,195580.28,2,569,0
France,Male,1,0,PLATINUM,Middle-Aged (26-45),30,840,8,136291.71,1,54113.38,3,938,0
Germany,Male,1,0,PLATINUM,Middle-Aged (26-45),42,570,0,107856.57,2,127528.84,3,628,0
Germany,Female,0,0,SILVER,Middle-Aged (26-45),26,676,1,108348.66,1,60231.74,4,244,1
France,Male,1,0,DIAMOND,Older Adults (46-64),47,689,1,93871.95,3,156878.42,4,334,1
Spain,Female,1,0,SILVER,Middle-Aged (26-45),45,703,1,0.0,1,182784.11,2,919,1
Germany,Male,0,0,SILVER,Young Adults (18-25),19,491,2,125860.2,1,129690.5,2,894,0
France,Male,1,0,DIAMOND,Older Adults (46-64),49,584,8,172713.44,1,113860.81,2,475,0
France,Female,0,1,DIAMOND,Older Adults (46-64),51,810,5,0.0,2,184524.74,1,527,0
Spain,Female,1,1,DIAMOND,Older Adults (46-64),59,745,8,0.0,1,36124.98,2,949,0
France,Female,0,1,DIAMOND,Middle-Aged (26-45),39,625,3,130786.92,1,121316.07,2,650,0
France,Female,1,0,PLATINUM,Middle-Aged (26-45),29,535,2,112367.34,1,185630.76,2,989,0
Spain,Female,1,0,PLATINUM,Middle-Aged (26-45),45,729,7,91091.06,2,71133.12,1,632,0
France,Female,0,1,DIAMOND,Middle-Aged (26-45),26,655,7,106198.5,1,32020.42,3,961,0
France,Male,1,0,PLATINUM,Older Adults (46-64),47,751,5,142669.93,2,162760.96,3,627,0
France,Male,0,1,PLATINUM,Middle-Aged (26-45),33,525,1,112833.35,1,175178.56,3,590,0
France,Female,0,1,DIAMOND,Middle-Aged (26-45),40,532,5,0.0,2,177099.71,4,712,0
Spain,Female,1,1,DIAMOND,Middle-Aged (26-45),43,696,4,0.0,2,66406.37,4,678,0
Germany,Female,0,0,GOLD,Middle-Aged (26-45),32,786,2,104336.43,2,59559.81,3,240,0
France,Male,0,1,GOLD,Older Adults (46-64),55,580,6,104305.74,1,175750.21,5,432,0
Germany,Male,1,1,PLATINUM,Older Adults (46-64),47,596,5,140187.1,2,174311.3,1,281,0
France,Male,1,0,GOLD,Middle-Aged (26-45),39,683,4,0.0,2,171716.81,2,913,0
France,Female,1,0,DIAMOND,Middle-Aged (26-45),45,747,1,114959.12,1,189362.39,1,727,1
France,Male,0,1,SILVER,Middle-Aged (26-45),33,602,5,164704.38,1,180716.1,1,342,1
France,Male,0,1,GOLD,Older Adults (46-64),62,779,10,119096.55,1,116977.89,1,644,0
France,Male,1,1,SILVER,Middle-Aged (26-45),31,551,1,0.0,2,185105.44,4,275,0
France,Male,1,0,GOLD,Older Adults (46-64),47,666,2,0.0,1,35046.97,4,354,1
Spain,Male,1,0,DIAMOND,Middle-Aged (26-45),30,526,8,0.0,1,36251.0,3,268,0
France,Female,1,0,GOLD,Middle-Aged (26-45),41,849,9,115465.28,1,103174.5,3,623,0
France,Female,1,0,PLATINUM,Middle-Aged (26-45),27,471,4,0.0,2,122642.09,4,346,0
Spain,Male,1,0,GOLD,Middle-Aged (26-45),43,628,3,184926.61,1,122937.57,4,642,0
Germany,Male,1,0,GOLD,Middle-Aged (26-45),43,674,8,85957.88,2,8757.39,4,840,0
France,Male,0,1,SILVER,Middle-Aged (26-45),32,797,10,114084.6,1,125782.29,1,543,0
Spain,Female,1,0,SILVER,Middle-Aged (26-45),29,590,2,166930.76,2,122487.73,3,768,0
France,Female,1,0,DIAMOND,Middle-Aged (26-45),27,588,8,0.0,1,20066.38,5,367,0
France,Male,1,1,GOLD,Middle-Aged (26-45),29,577,7,0.0,2,55473.15,5,488,0
France,Female,0,0,PLATINUM,Middle-Aged (26-45),38,571,6,107193.82,2,38962.94,4,670,0
France,Male,1,1,GOLD,Middle-Aged (26-45),36,680,3,116275.12,1,63795.8,4,883,0
Spain,Female,1,1,DIAMOND,Middle-Aged (26-45),27,648,7,0.0,2,163060.43,3,983,0
France,Male,1,0,GOLD,Middle-Aged (26-45),39,618,2,91068.56,1,26578.69,2,244,0
Germany,Male,0,1,DIAMOND,Middle-Aged (26-45),41,648,5,123049.21,1,5066.76,3,946,0
France,Female,1,1,SILVER,Middle-Aged (26-45),39,759,6,0.0,2,140497.67,4,500,0
France,Male,0,0,SILVER,Middle-Aged (26-45),40,585,7,0.0,2,146156.98,4,270,0
France,Female,0,0,SILVER,Middle-Aged (26-45),42,774,3,137781.65,1,199316.19,1,879,0
Germany,Female,1,1,SILVER,Older Adults (46-64),48,697,2,108128.96,2,103944.37,3,980,0
Spain,Male,1,0,PLATINUM,Middle-Aged (26-45),39,605,10,105317.73,2,138021.36,1,798,0
France,Male,0,0,DIAMOND,Young Adults (18-25),20,676,1,80569.73,1,68621.98,3,381,0
France,Female,1,1,PLATINUM,Young Adults (18-25),22,678,4,174852.89,1,28149.06,3,333,0
Spain,Female,1,0,PLATINUM,Middle-Aged (26-45),45,495,3,89158.94,3,135169.76,1,284,1
France,Female,1,1,GOLD,Retirement Aged (65+),85,787,10,0.0,2,116537.96,2,542,0
France,Male,1,1,SILVER,Middle-Aged (26-45),36,770,2,89800.14,1,105922.69,1,676,0
Germany,Male,0,0,SILVER,Middle-Aged (26-45),45,817,9,101207.75,1,88211.12,2,847,1
France,Male,1,0,GOLD,Middle-Aged (26-45),43,659,1,106086.42,2,26900.63,5,748,0
France,Male,1,1,PLATINUM,Young Adults (18-25),21,693,1,0.0,2,3494.02,3,931,0
France,Male,1,0,PLATINUM,Older Adults (46-64),47,744,9,0.0,2,113163.17,2,743,0
Spain,Female,1,1,DIAMOND,Middle-Aged (26-45),26,829,8,101440.36,2,19324.5,5,596,0
France,Male,1,0,GOLD,Middle-Aged (26-45),38,716,4,0.0,2,189678.7,3,756,0
France,Male,1,1,GOLD,Middle-Aged (26-45),34,671,7,106603.74,2,26387.71,4,303,0
Germany,Female,0,0,DIAMOND,Middle-Aged (26-45),29,835,10,130420.2,2,106276.55,5,349,0
France,Female,1,0,DIAMOND,Middle-Aged (26-45),38,636,1,0.0,1,45015.38,3,360,0
Spain,Male,1,1,PLATINUM,Middle-Aged (26-45),29,649,2,45022.23,1,173495.77,4,595,0
Germany,Male,1,1,PLATINUM,Middle-Aged (26-45),27,621,1,74298.43,1,52581.96,5,281,0
Germany,Female,0,1,SILVER,Middle-Aged (26-45),31,658,3,133003.03,1,146339.27,3,879,1
Spain,Male,1,1,DIAMOND,Older Adults (46-64),48,784,7,0.0,2,182609.97,1,354,0
Spain,Female,1,0,GOLD,Middle-Aged (26-45),37,783,1,136689.66,1,197890.65,1,412,0
France,Male,1,1,GOLD,Middle-Aged (26-45),32,615,4,0.0,2,6225.63,4,294,0
France,Female,1,1,PLATINUM,Middle-Aged (26-45),44,791,5,0.0,2,123977.86,2,430,1
France,Male,1,1,SILVER,Older Adults (46-64),53,762,1,102520.37,1,170195.4,2,876,0
France,Male,1,1,SILVER,Middle-Aged (26-45),35,607,2,0.0,2,114190.3,3,680,0
France,Female,1,0,PLATINUM,Middle-Aged (26-45),34,601,5,0.0,2,27022.57,3,498,0
Spain,Male,0,1,GOLD,Retirement Aged (65+),67,540,1,88382.01,1,59457.0,4,409,0
France,Male,1,0,DIAMOND,Middle-Aged (26-45),44,812,4,115049.15,2,165038.41,2,223,0
France,Male,1,1,GOLD,Older Adults (46-64),58,685,1,104796.54,1,154181.41,3,673,0
France,Male,1,0,GOLD,Middle-Aged (26-45),33,680,1,123082.08,1,134960.98,5,302,0
Spain,Female,1,1,GOLD,Older Adults (46-64),58,680,8,0.0,2,65708.5,5,743,0
France,Female,0,0,PLATINUM,Middle-Aged (26-45),33,631,8,0.0,2,117374.22,5,970,0
France,Female,1,1,SILVER,Middle-Aged (26-45),43,569,7,0.0,2,77703.19,2,271,0
Germany,Male,1,1,SILVER,Middle-Aged (26-45),33,584,3,88311.48,2,177651.38,1,882,0
France,Female,1,1,SILVER,Middle-Aged (26-45),40,582,9,0.0,3,60954.45,2,645,0
France,Male,1,1,SILVER,Middle-Aged (26-45),32,609,7,71872.19,1,151924.9,2,484,0
Spain,Male,1,0,GOLD,Middle-Aged (26-45),35,506,6,110046.93,2,26318.73,1,606,0
France,Male,1,1,GOLD,Middle-Aged (26-45),42,503,8,104430.08,1,147557.71,5,759,0
France,Female,1,0,PLATINUM,Middle-Aged (26-45),28,503,5,0.0,2,125918.17,2,868,0
Germany,Male,1,0,GOLD,Middle-Aged (26-45),31,806,10,138653.51,1,190803.37,3,662,0
France,Female,1,1,GOLD,Middle-Aged (26-45),31,653,7,102575.04,1,11043.54,5,283,0
France,Male,1,1,SILVER,Middle-Aged (26-45),43,666,7,137780.74,2,119100.05,3,817,1
Spain,Male,1,0,DIAMOND,Middle-Aged (26-45),32,674,2,0.0,2,140579.17,1,787,0
France,Male,0,1,GOLD,Middle-Aged (26-45),32,798,7,0.0,2,37731.95,4,856,0
France,Female,1,0,SILVER,Middle-Aged (26-45),30,740,8,105209.54,1,1852.58,4,814,0
Germany,Female,1,1,GOLD,Middle-Aged (26-45),32,531,0,109570.21,2,172049.84,3,584,0
Germany,Female,1,0,DIAMOND,Middle-Aged (26-45),44,614,6,118715.86,1,133591.11,2,704,1
France,Male,1,1,GOLD,Middle-Aged (26-45),35,556,10,0.0,2,192751.18,4,570,0
Germany,Female,1,1,GOLD,Middle-Aged (26-45),43,678,2,153393.18,2,193828.27,1,274,0
Germany,Male,1,0,SILVER,Middle-Aged (26-45),33,587,6,132603.36,1,55775.72,1,479,0
Spain,Female,1,1,DIAMOND,Middle-Aged (26-45),36,527,6,0.0,2,102280.29,5,823,0
Germany,Female,0,0,PLATINUM,Middle-Aged (26-45),34,757,1,129398.01,2,44965.44,4,276,0
Spain,Male,1,0,GOLD,Middle-Aged (26-45),28,468,3,0.0,2,170661.02,2,306,0
France,Male,0,0,PLATINUM,Middle-Aged (26-45),29,693,2,151352.74,1,197145.89,1,248,0
France,Female,1,0,SILVER,Middle-Aged (26-45),44,483,5,136836.49,1,192359.9,1,853,1
France,Male,1,0,SILVER,Middle-Aged (26-45),40,466,4,91592.06,1,141210.18,1,977,1
France,Female,1,0,SILVER,Middle-Aged (26-45),30,770,8,0.0,2,100557.03,5,417,0
France,Female,1,0,SILVER,Older Adults (46-64),54,734,3,0.0,1,130805.54,4,505,1
France,Female,1,1,SILVER,Young Adults (18-25),22,716,8,0.0,2,92606.98,2,655,0
France,Male,1,1,DIAMOND,Middle-Aged (26-45),36,439,2,165536.28,2,123956.83,3,877,0
Germany,Male,1,1,GOLD,Young Adults (18-25),25,538,5,62482.95,1,102758.43,2,933,0
France,Male,1,0,GOLD,Middle-Aged (26-45),40,743,8,68155.59,1,94876.65,1,413,0
Spain,Female,0,1,PLATINUM,Middle-Aged (26-45),43,734,3,55853.33,2,94811.85,1,263,1
France,Male,0,1,SILVER,Middle-Aged (26-45),37,656,2,0.0,2,67840.81,2,436,0
France,Female,0,0,DIAMOND,Middle-Aged (26-45),31,666,2,79589.43,1,4050.57,5,569,0
Spain,Male,0,1,GOLD,Middle-Aged (26-45),41,627,5,100880.76,1,134665.25,4,395,0
Germany,Female,0,0,DIAMOND,Young Adults (18-25),25,480,3,174330.35,2,181647.13,1,425,0
France,Male,1,0,DIAMOND,Young Adults (18-25),19,792,7,143390.51,1,33282.84,4,391,0
Germany,Male,0,0,DIAMOND,Older Adults (46-64),59,613,8,91415.76,1,27965.0,2,422,1
Germany,Male,1,0,GOLD,Middle-Aged (26-45),30,476,3,134366.42,1,68343.53,4,709,0
France,Female,1,1,PLATINUM,Young Adults (18-25),24,539,3,0.0,2,198161.07,4,449,0
Spain,Male,1,1,PLATINUM,Older Adults (46-64),60,696,8,88786.81,1,196858.4,1,628,0
Germany,Male,1,1,GOLD,Middle-Aged (26-45),35,810,3,96814.46,2,120511.03,1,275,0
Germany,Male,1,0,DIAMOND,Middle-Aged (26-45),32,763,9,160680.41,1,30886.35,3,600,0
France,Female,1,0,SILVER,Middle-Aged (26-45),29,640,3,0.0,2,2743.69,1,956,0
France,Female,1,0,SILVER,Older Adults (46-64),47,655,10,0.0,2,167778.62,2,989,0
Germany,Male,1,0,GOLD,Middle-Aged (26-45),31,526,5,145537.21,1,132404.64,2,537,0
France,Female,1,1,PLATINUM,Middle-Aged (26-45),28,678,4,0.0,2,144423.17,5,772,1
France,Female,1,1,DIAMOND,Middle-Aged (26-45),45,554,6,0.0,2,181204.5,3,802,0
Spain,Female,1,1,SILVER,Middle-Aged (26-45),30,597,2,119370.11,1,182726.22,4,851,1
Spain,Female,1,1,SILVER,Middle-Aged (26-45),28,560,1,0.0,2,120880.72,3,451,0
Germany,Female,0,0,DIAMOND,Older Adults (46-64),47,850,10,134381.52,1,26812.89,4,252,1
Germany,Female,1,1,PLATINUM,Retirement Aged (65+),74,546,8,114888.74,2,66732.63,1,562,1
Germany,Male,1,0,DIAMOND,Middle-Aged (26-45),42,623,1,149332.48,2,100834.22,4,320,0
France,Female,1,0,DIAMOND,Middle-Aged (26-45),40,698,7,105061.74,3,107815.31,1,448,1
France,Male,1,1,PLATINUM,Middle-Aged (26-45),32,620,7,0.0,2,34665.79,3,479,0
France,Female,1,1,DIAMOND,Middle-Aged (26-45),40,619,10,0.0,1,147093.84,3,298,1
France,Male,1,1,DIAMOND,Young Adults (18-25),21,561,4,0.0,1,36942.35,3,699,0
France,Female,1,1,GOLD,Middle-Aged (26-45),39,753,7,155062.8,1,16460.77,3,674,0
Spain,Male,0,0,GOLD,Middle-Aged (26-45),43,721,3,88798.34,1,45610.63,2,592,0
France,Male,1,0,GOLD,Middle-Aged (26-45),33,451,6,0.0,2,184954.11,3,268,0
Germany,Female,0,0,DIAMOND,Older Adults (46-64),51,680,5,143139.87,1,47795.43,1,338,1
Spain,Female,1,0,SILVER,Young Adults (18-25),23,590,7,0.0,2,196789.9,1,469,0
Germany,Male,1,0,PLATINUM,Middle-Aged (26-45),27,634,3,107027.52,1,173425.68,1,610,0
France,Male,1,0,PLATINUM,Middle-Aged (26-45),29,676,4,140720.93,1,36221.18,5,439,0
France,Male,1,0,PLATINUM,Middle-Aged (26-45),30,642,8,80964.57,2,174738.2,4,270,0
France,Male,1,0,DIAMOND,Middle-Aged (26-45),39,760,6,178585.46,1,67131.3,3,790,1
Spain,Female,1,1,PLATINUM,Middle-Aged (26-45),26,736,4,135889.13,1,165692.03,4,253,0
France,Male,1,0,DIAMOND,Middle-Aged (26-45),43,656,7,134919.85,1,194691.95,1,421,0
Germany,Male,0,0,GOLD,Middle-Aged (26-45),33,776,8,115130.34,1,129525.5,4,658,1
Spain,Female,0,1,PLATINUM,Middle-Aged (26-45),34,832,6,138190.13,2,146511.2,2,424,0
Germany,Male,1,1,SILVER,Middle-Aged (26-45),37,631,9,131519.49,2,51752.18,1,404,0
Spain,Female,1,0,PLATINUM,Older Adults (46-64),56,795,5,0.0,1,35418.69,5,675,1
Germany,Female,0,1,PLATINUM,Middle-Aged (26-45),39,648,3,126935.98,2,57995.74,1,693,0
France,Male,1,1,PLATINUM,Middle-Aged (26-45),39,615,4,133707.09,1,108152.75,5,358,0
France,Female,1,0,DIAMOND,Middle-Aged (26-45),27,682,1,97893.2,1,166144.98,5,635,0
France,Male,1,0,GOLD,Middle-Aged (26-45),34,694,5,127900.03,1,101737.8,5,325,0
France,Male,0,1,PLATINUM,Middle-Aged (26-45),37,694,10,143835.47,1,33326.71,1,992,0
France,Male,1,1,DIAMOND,Middle-Aged (26-45),44,607,0,0.0,2,81140.09,4,430,0
France,Male,1,0,PLATINUM,Older Adults (46-64),48,664,10,0.0,1,140173.17,1,495,1
France,Male,1,1,DIAMOND,Older Adults (46-64),60,756,2,0.0,1,166513.49,3,858,1
France,Female,1,1,SILVER,Middle-Aged (26-45),40,645,3,129596.77,1,103232.6,4,897,0
Spain,Male,1,0,DIAMOND,Middle-Aged (26-45),30,653,4,0.0,2,120736.04,5,739,0
Germany,Female,0,0,SILVER,Young Adults (18-25),24,710,2,110407.44,2,15832.43,4,993,1
France,Female,0,1,DIAMOND,Retirement Aged (65+),76,697,7,0.0,2,188772.45,3,733,0
Germany,Female,1,0,DIAMOND,Middle-Aged (26-45),41,619,8,142015.76,2,114323.66,5,222,0
Spain,Male,0,1,PLATINUM,Older Adults (46-64),55,648,1,81370.07,1,181534.04,4,564,0
Germany,Female,0,0,DIAMOND,Older Adults (46-64),48,482,2,69329.47,1,102640.52,5,910,1
France,Female,1,1,GOLD,Middle-Aged (26-45),28,548,8,116755.5,2,158585.17,1,519,1
Spain,Male,1,0,SILVER,Middle-Aged (26-45),44,752,6,83870.33,1,178722.24,3,238,0
France,Female,1,1,DIAMOND,Middle-Aged (26-45),39,648,6,130694.89,2,153955.38,2,912,1
Spain,Female,1,0,DIAMOND,Middle-Aged (26-45),34,643,8,117451.47,1,65374.86,2,531,0
Germany,Female,0,1,SILVER,Middle-Aged (26-45),35,573,9,206868.78,2,102986.15,3,940,0
France,Female,0,0,DIAMOND,Middle-Aged (26-45),39,686,3,111695.62,1,136643.84,4,408,0
France,Female,1,0,GOLD,Middle-Aged (26-45),40,644,9,137285.26,4,77063.63,3,444,1
France,Female,1,1,DIAMOND,Middle-Aged (26-45),29,702,6,149218.39,1,9633.01,3,739,0
France,Male,0,1,PLATINUM,Older Adults (46-64),51,652,7,0.0,2,43496.36,5,749,0
Spain,Male,1,1,GOLD,Middle-Aged (26-45),32,641,7,0.0,2,24267.28,4,652,0
Germany,Female,1,0,SILVER,Middle-Aged (26-45),41,692,8,130701.29,1,59354.24,2,235,1
Spain,Male,0,0,DIAMOND,Middle-Aged (26-45),34,574,5,0.0,2,28269.86,5,626,0
France,Female,1,0,GOLD,Middle-Aged (26-45),31,643,3,167949.48,1,143162.34,2,906,0
France,Male,1,0,SILVER,Young Adults (18-25),23,834,4,131254.81,1,20199.3,4,675,0
France,Male,1,1,SILVER,Middle-Aged (26-45),28,591,5,0.0,2,48606.92,4,916,0
Spain,Male,0,1,DIAMOND,Middle-Aged (26-45),34,470,9,0.0,2,89013.67,4,568,0
Spain,Male,0,1,SILVER,Middle-Aged (26-45),34,608,7,86656.13,1,59890.29,1,252,0
Germany,Female,1,1,DIAMOND,Middle-Aged (26-45),37,649,8,114737.26,1,106655.88,1,381,1
France,Female,1,0,PLATINUM,Middle-Aged (26-45),38,665,5,0.0,2,156439.56,4,837,0
France,Female,1,0,SILVER,Middle-Aged (26-45),39,651,6,0.0,1,24176.44,1,283,0
Germany,Male,0,1,GOLD,Older Adults (46-64),62,555,4,119817.33,1,43507.1,2,697,1
France,Female,1,1,PLATINUM,Older Adults (46-64),48,637,7,130806.99,2,132005.85,1,358,1
France,Female,1,1,SILVER,Older Adults (46-64),49,675,0,0.0,1,80496.71,4,448,1
Spain,Male,1,0,GOLD,Middle-Aged (26-45),40,677,5,0.0,2,88947.56,4,314,0
Germany,Female,0,0,DIAMOND,Middle-Aged (26-45),35,850,2,80931.75,1,12639.67,2,983,1
France,Female,1,1,GOLD,Older Adults (46-64),56,815,3,0.0,3,94248.16,3,688,1
Germany,Male,0,0,GOLD,Middle-Aged (26-45),32,665,1,132178.67,1,11865.76,1,274,0
France,Female,1,0,SILVER,Middle-Aged (26-45),27,485,3,0.0,2,141449.86,5,901,0
Spain,Male,1,1,DIAMOND,Middle-Aged (26-45),43,577,6,0.0,2,149457.81,3,446,0
France,Female,1,0,SILVER,Middle-Aged (26-45),35,586,7,164769.02,3,119814.25,3,290,1
Germany,Male,1,0,DIAMOND,Middle-Aged (26-45),29,722,1,107233.85,2,24924.92,2,941,0
France,Female,0,1,GOLD,Middle-Aged (26-45),27,528,7,176227.07,2,139481.53,1,875,0
France,Female,1,1,SILVER,Middle-Aged (26-45),39,542,4,109949.39,2,41268.65,4,339,0
France,Female,1,1,SILVER,Middle-Aged (26-45),34,552,5,0.0,2,1351.41,3,712,0
France,Female,1,0,DIAMOND,Older Adults (46-64),60,678,10,117738.81,1,147489.76,4,599,1
Spain,Female,1,0,PLATINUM,Middle-Aged (26-45),37,575,9,133292.45,1,111175.09,2,506,0
France,Female,1,1,DIAMOND,Middle-Aged (26-45),43,669,1,160474.59,1,95963.14,3,946,0
France,Male,1,0,PLATINUM,Middle-Aged (26-45),43,636,6,0.0,2,43128.95,5,748,0
Germany,Male,1,1,SILVER,Older Adults (46-64),55,667,9,154393.43,1,137674.96,3,887,1
Germany,Female,1,1,PLATINUM,Middle-Aged (26-45),45,652,9,110827.49,1,153383.54,3,510,1
Germany,Female,1,1,DIAMOND,Middle-Aged (26-45),36,637,10,145750.45,2,96660.76,1,407,0
Spain,Female,0,1,GOLD,Middle-Aged (26-45),45,516,8,109044.3,1,115818.16,5,229,0
France,Female,1,1,SILVER,Middle-Aged (26-45),32,801,4,75170.54,1,37898.5,1,451,0
France,Female,1,0,PLATINUM,Middle-Aged (26-45),42,692,2,0.0,2,145222.93,3,498,0
France,Female,1,1,PLATINUM,Middle-Aged (26-45),28,585,6,105795.9,1,41219.09,2,446,0
France,Male,1,0,GOLD,Middle-Aged (26-45),32,590,5,0.0,2,59249.83,4,676,0
Spain,Male,1,1,PLATINUM,Retirement Aged (65+),66,554,8,0.0,2,116747.62,1,259,0
France,Female,1,0,PLATINUM,Older Adults (46-64),49,659,1,0.0,1,116249.72,4,219,1
France,Female,1,0,GOLD,Middle-Aged (26-45),26,690,3,118097.87,1,61257.83,4,979,0
Germany,Male,0,0,DIAMOND,Middle-Aged (26-45),29,697,0,172693.54,1,141798.98,2,267,0
France,Male,1,0,PLATINUM,Middle-Aged (26-45),36,610,4,129440.3,2,102638.35,4,975,0
Spain,Male,0,0,DIAMOND,Middle-Aged (26-45),36,599,4,0.0,2,13210.56,3,928,0
France,Male,1,0,DIAMOND,Young Adults (18-25),23,544,1,96471.2,1,35550.97,4,487,0
France,Female,1,1,SILVER,Older Adults (46-64),46,548,1,0.0,1,104469.06,4,842,1
Spain,Male,1,1,SILVER,Young Adults (18-25),24,635,4,140197.18,1,142935.83,4,907,0
France,Male,1,0,DIAMOND,Young Adults (18-25),20,722,6,0.0,2,195486.28,5,543,0
France,Female,1,0,DIAMOND,Middle-Aged (26-45),33,564,4,135946.26,1,63170.0,3,696,0
France,Male,1,1,SILVER,Retirement Aged (65+),69,719,3,0.0,2,58320.06,4,489,0
Germany,Male,0,1,DIAMOND,Older Adults (46-64),50,547,3,81290.02,3,177747.03,4,899,1
France,Female,1,0,DIAMOND,Middle-Aged (26-45),42,850,8,0.0,1,19632.64,5,366,1
Germany,Male,1,0,GOLD,Older Adults (46-64),60,515,9,113715.36,1,18424.24,1,850,1
Spain,Male,0,1,PLATINUM,Older Adults (46-64),56,667,2,168883.08,1,18897.78,2,321,0
Germany,Male,1,0,SILVER,Middle-Aged (26-45),36,607,8,143421.74,1,97879.02,1,641,0
France,Male,1,1,SILVER,Middle-Aged (26-45),26,525,7,153644.39,1,63197.88,1,988,0
Spain,Female,1,1,DIAMOND,Older Adults (46-64),53,606,1,109330.06,1,75860.01,5,582,0
Germany,Female,0,0,DIAMOND,Middle-Aged (26-45),27,686,1,115095.88,2,78622.46,2,873,0
France,Male,1,1,SILVER,Middle-Aged (26-45),35,611,10,0.0,1,23598.23,5,927,1
Spain,Male,1,1,DIAMOND,Older Adults (46-64),46,827,1,183276.32,1,13460.27,4,511,0
France,Male,1,0,GOLD,Middle-Aged (26-45),33,572,9,68193.72,1,19998.31,1,269,0
France,Female,0,0,SILVER,Middle-Aged (26-45),32,726,8,0.0,2,185075.63,2,233,0
Germany,Male,0,1,SILVER,Middle-Aged (26-45),31,579,6,139729.54,1,135815.38,4,664,0
Spain,Female,1,1,DIAMOND,Older Adults (46-64),56,598,4,98365.33,1,44251.33,5,850,0
France,Male,1,0,PLATINUM,Middle-Aged (26-45),36,663,10,0.0,2,136349.55,5,839,0
Germany,Female,1,1,DIAMOND,Middle-Aged (26-45),37,505,10,122453.97,2,52693.99,5,254,0
Germany,Male,0,0,GOLD,Middle-Aged (26-45),30,576,7,132174.41,2,93767.03,1,546,0
Spain,Female,0,1,GOLD,Young Adults (18-25),24,555,2,0.0,2,197866.55,4,347,0
